title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,uploadTime
Anchor Media thaameraa feedaraalizeme - hegamanegesete menedene nawe? bagalataawe zalaqa,WbtTkjEFXS0,14460,741,0,52,0,PT52M56S,2024-06-15 01:56:00
Anchor Media &#39;&#39;'abeye 'ahemade ba'adise 'ababaa jeenosaayede 'enedifatsame yaadaregaale.&#39;&#39; daraasinaa yakominikeeshene baalamuyaa 'asaayee darebee,M7KrgtAVquI,85029,3245,0,290,0,PT43M54S,2024-06-28 15:28:09
Anchor Media thorenatunaa mekekeru - 'amebaasaadare berehaanamaseqale nagaa,RaaOyyCSgsU,47499,2331,0,105,0,PT18M30S,2024-06-06 22:40:05
#sabare zeenaa maraajaa theqeme#//4/bagojaame#merekonyaa walediyaa takababaace# Anchor media baheredaare #ya'ayare theqaate netzune,9pBHVeJTBB4,256,12,0,2,0,PT1H23M26S,2024-10-15 07:52:55
Anchor News Fri Sep 6 ya'ehudu ya'adise 'ababaa salefe: yazone yabeletsegenaa 'amaraaroce 'eje 'enedisathu tathayaqa: yabaaheredaare zuriyaa wegiyaa: yaguraagee qawese,qdAoar2TIso,208153,6184,0,441,0,PT27M38S,2024-09-06 15:12:21
Anchor Special ya`aalame pereese qane - &#39;&#39;badabo magelachaa maawethaataacehu genenyunataacenene yaashaakeraale&#39;&#39; ya'abeye 'ahemade yaweche gudaaye maseriyaa beete,JTJnqwul8Hs,25713,1401,0,75,0,PT18M15S,2024-05-04 05:43:45
Anchor Media &#39;&#39;yasinodosu 'abaatoce beetakeresetiyaanitune 'asaalefawe sathetawaale. 'abeyene lamaasedasate beetakeresetiyaanitune 'awaaredawaale&#39;&#39; 'abaa gabere`eele,WlVxgeEUue0,36239,1533,0,201,0,PT45M4S,2024-06-08 00:07:01
Anchor News yasosete kelele leyu haayeloce 'adise 'ababaa saferawaale: yamaraawiwe wegiyaa: semeene shawaa felemiyaawe tathanaakerwale:ya'amaaraa meselanee 'amaraaroce naga yemalasaalu,4PryYhXVJsI,251211,7776,0,400,0,PT19M1S,2024-04-27 21:44:26
Jon Stewart makes a desperate plea to the media. #shorts,6_fiZnzfcA8,2497077,131978,0,2148,0,PT51S,2024-06-04 22:22:05
Anchor Media bashawaa yatadaragu yahelewenaa tagaadelowoce - bashaalaqaa mulaatu 'ababa,D5aJc6OEN5U,141861,5276,0,226,0,PT13M15S,2024-08-18 04:42:10
Anchor Media temeheretaawi yazare maathefaate - ya'abeye 'ahemade terufaate,KsdHrGZ8Nsw,25818,1103,0,65,0,PT5M57S,2024-09-10 12:23:16
Anchor Media ya'ato damaqa makonene senebete: wadabu yacharaqaa mahonu taragaagatha: &#39;&#39;wadabe yalame&#39;&#39; yasomaaleelaanedu mari : ya'abuna rufaa`eele wegezatenaa mereqaate,m0rDK20VBVg,129797,4419,0,472,0,PT1H19M45S,2024-01-26 15:07:07
Anchor nrre killi pooy Mentalism  Mentalism Trick,M_lz4GR00Vg,1970055,145950,0,227,0,PT59S,2024-10-08 11:33:42
Anchor nrre killi prrnn Card Trick  Mentalist Trick,zZOiWiQNqRo,42541,2752,0,13,0,PT59S,2024-10-13 07:08:20
Anchor Media pe/te saayaase 'afawareqi mene 'eyaalu nawe? kaasaa makefale yaaqaatawe ya'abeye 'ahemade 'agazaaze: yateyeyu yaweche gudaaye miniseteru zalafaa  machiwe gizee,e6FuVOppq3s,90566,2846,0,374,0,PT1H36M32S,2024-05-26 03:58:42
Transgender Chandramukhi Exclusive Full Interview | Anchor Shiva | Mana Media,HOAPZSAHRCE,161733,2705,0,235,0,PT1H3M12S,2024-07-04 05:30:05
Anchor Media ba'enawaari yatafatharawe menedene nawe?,7Y8r7M4u63g,112765,4882,0,220,0,PT8M55S,2024-08-21 15:13:13
Anchor News  ya'amaaraa kelele 'esere: ya'abaaye gedebe kefelathore  wada 'amaaraa kelele: wegiyaawoce tathanaakerawe 'eyatakaaheedu nawe: yacaayenaa baalahabetoce 'eyawathu nawe,SVFwwI8nV6c,137749,6460,0,406,0,PT17M37S,2024-09-30 20:27:11
Anchor Media 'ato gadu 'anedaaregaacawe ya'amaaraane hezebe tegele taqalaaqalu. &#39;&#39;'abeye 'ahemade dakaamaa: 'aqema bise: 'aramanee: baselethaane theme yaabada: kefu nawe&#39;&#39;,5SvrP5OsFWs,165190,7459,0,533,0,PT5M58S,2024-08-06 12:36:19
Anchor walediyaa takabaalace: me`eraabe gonedare wegiyaawe baretetwale: yateyopheyaa lemaate baaneke pereezedaanete lamene laqaqu? ya'adise 'ababaawe salefe: shenekurete kataanezaaniyaa,hvDdMst9ea4,96611,3631,0,277,0,PT1H32M23S,2024-09-06 21:07:01
Anchor Media 'abeye 'ahemade selamafaneqela manegesete selamene dagaagemo yaanasaale?,2vd9zNt5uls,111746,6220,0,534,0,PT18M38S,2024-07-25 13:39:18
Anchor media yateyopheyaa 'abeyote 50nyaa `aamate,wg_n3eri0BM,59421,2645,0,315,0,PT1H39M37S,2024-03-10 22:56:40
Anchor yateyopheyaa 1nyaa segaate 'abeye 'ahemade nawe. ya'adise 'ababaa hezebe &#39;'eyamathu nawe&#39; maalatune 'aqumo yetaagale&#39;&#39; 'ato ledatu 'ayaaleewe sela'adise 'ababaa yenaagaraale,8Ijv0FGaZ7c,194906,6639,0,1427,0,PT1H46M16S,2024-04-07 04:32:36
Anchor News Sep 28 yakaahenu gedeyaanaa yaliqaphaaphaasu melaashe: kaahenunenaa beetasabaacawene maane gadalaacawe? derone yaalebagarawe yafaano yadele gesegaasee: yawarequ nagare?!,-t-MPZqmXCc,85492,3975,0,335,0,PT29M6S,2024-09-28 06:04:31
